2021-12-14 14:12:240 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 14:12:112 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //button[@id='save']]
2021-12-14 14:12:316 INFO  HomePage :70 - Send text to JobTitle : Tester[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:524 INFO  HomePage :75 - Send text to JobLocation : Harrow[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //input[@id='location']]
2021-12-14 14:12:640 INFO  HomePage :80 - Select Distance : up to 5 miles[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //select[@id='distance']]
2021-12-14 14:12:935 INFO  HomePage :85 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 14:12:138 INFO  HomePage :90 - Send text to MinSalary : 30000[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //input[@id='salarymin']]
2021-12-14 14:12:226 INFO  HomePage :95 - Send text to MaxSalary : 50000[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //input[@id='salarymax']]
2021-12-14 14:12:281 INFO  HomePage :100 - Selecting salary type from dropdown: Per annum[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //select[@id='salarytype']]
2021-12-14 14:12:362 INFO  HomePage :105 - Selecting job type from dropdown: Permanent[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:456 INFO  HomePage :110 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> id: hp-search-btn]
2021-12-14 14:12:955 INFO  ResultPage :26 - Verifying Search result: Permanent Tester jobs in Harrow on the Hill[[ChromeDriver: chrome on WINDOWS (b1cd6792685eaf94986d0447daf0df5b)] -> xpath: //div[@class='search-header__title']]
2021-12-14 14:12:135 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 14:12:917 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (947233169a7c8f2634e050ab4bb4b0ae)] -> xpath: //button[@id='save']]
2021-12-14 14:12:224 INFO  HomePage :70 - Send text to JobTitle : Scientist[[ChromeDriver: chrome on WINDOWS (947233169a7c8f2634e050ab4bb4b0ae)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:325 INFO  HomePage :75 - Send text to JobLocation : Harrow[[ChromeDriver: chrome on WINDOWS (947233169a7c8f2634e050ab4bb4b0ae)] -> xpath: //input[@id='location']]
